season,matchid,player,playerid,eventtype,minute,team
2020-2021,1c5be3e6,Lionel Messi,d70ce98e,penalty_goal,61,h
2020-2021,1c5be3e6,Lionel Messi,d70ce98e,goal,82,h
2020-2021,1c5be3e6,Pedri,0d9b2d31,goal,90,h
2020-2021,1c5be3e6,Antonio Sanabria,0a447501,goal,45+2,a
2020-2021,1c5be3e6,Aïssa Mandi,fbd6378b,red_card,60,a
2020-2021,1c5be3e6,Loren Morón,3aa4a3be,goal,73,a
2020-2021,3e030894,Lucas Ocampos,a08b974a,penalty_goal,59,h
2020-2021,69ba62d3,João Félix,8aafd64f,goal,8,h
2020-2021,69ba62d3,Marcos Llorente,02c15616,goal,22,h
2020-2021,69ba62d3,Luis Suárez,a6154613,goal,51,h
2020-2021,69ba62d3,João Félix,8aafd64f,goal,90,h
2020-2021,593d9bb2,Mauro Arambarri,58afe001,goal,16,h
2020-2021,593d9bb2,Paco Alcácer,a7a9d95a,goal,11,a
2020-2021,593d9bb2,Manu Trigueros,963829d0,goal,17,a
2020-2021,593d9bb2,Gerard Moreno,81f0781e,goal,62,a
2020-2021,910d9fc9,Nacho Monreal,d4cb83cc,goal,22,h
2020-2021,910d9fc9,Mikel Oyarzabal,8c3c640c,penalty_goal,27,h
2020-2021,910d9fc9,Robin Le Normand,9a64e67e,red_card,86,h
2020-2021,f0416d1e,José Luis Morales,4a478107,goal,51,h
2020-2021,f0416d1e,Lucas Pérez,a300ac7e,goal,4,a
2020-2021,f0416d1e,Édgar Méndez,aed746df,yellow_red_card,34,a
2020-2021,707d9a5a,Fabián Orellana,c90977db,penalty_goal,19,h
2020-2021,707d9a5a,Maranhão,ae86d473,goal,48,h
2020-2021,707d9a5a,Iñaki Williams,6a99e0b1,penalty_goal,86,a
2020-2021,67626947,Carlos Soler,fed17f5a,penalty_goal,35,h
2020-2021,67626947,Raphaël Varane,9f8e9423,own_goal,43,h
2020-2021,67626947,Carlos Soler,fed17f5a,penalty_goal,54,h
2020-2021,67626947,Carlos Soler,fed17f5a,penalty_goal,63,h
2020-2021,67626947,Karim Benzema,70d74ece,goal,23,a
2020-2021,052141c9,David García,3e42f707,goal,68,h
2020-2021,052141c9,Sandro Ramírez,833fb62e,goal,5,a
2020-2021,e89ce534,Gonzalo Melero,3902e91b,goal,12,h
2020-2021,e89ce534,Tete Morente,004d185e,goal,63,a
2020-2021,3428445b,Gerard Moreno,81f0781e,penalty_goal,76,h
2020-2021,3428445b,Mariano,5c4dc0ff,goal,2,a
2020-2021,4383501b,Jules Koundé,4d1666ff,goal,5,h
2020-2021,4383501b,Youssef En-Nesyri,04e17fd5,goal,45+3,h
2020-2021,4383501b,Sergio Escudero,b0616e3d,goal,85,h
2020-2021,4383501b,Munir El Haddadi,8696bc90,goal,87,h
2020-2021,4383501b,Iago Aspas,7dcf86f6,goal,10,a
2020-2021,4383501b,Nolito,b2d0ec1b,goal,36,a
2020-2021,43512e62,Yannick Carrasco,de39485a,goal,45+3,h
2020-2021,23b72004,Kike,e897d8ba,yellow_red_card,88,h
2020-2021,4758cb68,Alexander Isak,8e92be30,goal,66,a
2020-2021,0a7b748e,Domingos Duarte,93090f69,goal,63,h
2020-2021,0a7b748e,Óscar Plano,7c388b20,goal,45+2,a
2020-2021,0a7b748e,Maranhão,ae86d473,goal,53,a
2020-2021,0a7b748e,Jota,2b65fe46,goal,90,a
2020-2021,de351e12,Ximo Navarro,8db394aa,goal,2,h
2020-2021,de351e12,Lucas Pérez,a300ac7e,penalty_goal,16,h
2020-2021,de351e12,Manu Vallejo,0bc4e720,goal,72,a
2020-2021,de351e12,Hugo Guillamón,f7c12fbf,goal,77,a
2020-2021,3663111f,Víctor Ruiz,b3dc6eca,own_goal,9,h
2020-2021,3663111f,Ander Capa,37f1cf47,goal,33,h
2020-2021,3663111f,Iker Muniain,c05dfb74,goal,59,h
2020-2021,3663111f,Álex Berenguer,dc1c2fce,goal,68,h
2020-2021,a6739bc2,Maranhão,ae86d473,goal,57,h
2020-2021,a6739bc2,José Campaña,61220da2,penalty_goal,83,a
2020-2021,ec140ab3,Lucas Boyé,d49f3e6b,goal,38,h
2020-2021,ec140ab3,Lucas Boyé,d49f3e6b,yellow_red_card,45+4,h
2020-2021,ec140ab3,Álvaro Giménez,18017beb,goal,55,a
2020-2021,a9d485ac,Toni Lato,8e088e04,own_goal,79,a
2020-2021,48c2c10e,Youssef En-Nesyri,04e17fd5,goal,83,a
2020-2021,8514945b,Casemiro,4d224fe8,goal,86,h
2020-2021,8514945b,Lucas Pérez,a300ac7e,penalty_goal,5,a
2020-2021,8514945b,Joselu,6265208f,goal,49,a
2020-2021,10b5cb6c,Martin Braithwaite,fd771f95,goal,29,h
2020-2021,10b5cb6c,Antoine Griezmann,df69b544,goal,42,h
2020-2021,10b5cb6c,Philippe Coutinho,0ef89a37,goal,57,h
2020-2021,10b5cb6c,Lionel Messi,d70ce98e,goal,73,h
2020-2021,add782a1,Ángel Rodríguez,8cfc2f69,goal,75,h
2020-2021,add782a1,Asier Villalibre,57be54ec,goal,9,a
2020-2021,80baa2ab,Nolito,b2d0ec1b,goal,27,h
2020-2021,80baa2ab,Miguel Baeza,a98f3cbf,goal,81,h
2020-2021,80baa2ab,Fran Beltrán,ed5c5fa3,goal,85,h
2020-2021,80baa2ab,Okay Yokuşlu,e49ce451,red_card,90+8,h
2020-2021,80baa2ab,Luis Javier Suárez,eeba07f8,goal,25,a
2020-2021,26b79011,Mikel Oyarzabal,8c3c640c,penalty_goal,33,h
2020-2021,26b79011,Gerard Moreno,81f0781e,penalty_goal,6,a
2020-2021,043ceb52,Yoshinori Mutō,5343eb4e,goal,49,a
2020-2021,043ceb52,Esteban Burgos,40449bbd,penalty_goal,54,a
2020-2021,d078209c,Hugo Mallo,cb574619,goal,61,a
2020-2021,d078209c,Iago Aspas,7dcf86f6,goal,78,a
2020-2021,7ba04d2d,Roger Martí,0ae4e09a,goal,5,h
2020-2021,7ba04d2d,Dani Gómez,0e5ddc7c,goal,17,h
2020-2021,7ba04d2d,Jorge de Frutos,38ce1150,goal,57,h
2020-2021,7ba04d2d,Chema,7f203b54,red_card,7,a
2020-2021,7ba04d2d,Djené,a4971d84,yellow_red_card,77,a
2020-2021,6b44d551,Yassine Bounou,f6798fc3,own_goal,55,a
2020-2021,03ba0ca6,Thomas Lemar,4dbd0916,goal,56,h
2020-2021,03ba0ca6,Marcos Llorente,02c15616,goal,72,h
2020-2021,b0c1990b,Álvaro Giménez,18017beb,goal,8,h
2020-2021,b0c1990b,Álvaro Negredo,63b0ca6b,goal,63,h
2020-2021,b0c1990b,Pedro Alcalá,ba71d071,own_goal,57,a
2020-2021,9bfc09f8,Luis Javier Suárez,eeba07f8,goal,43,h
2020-2021,9bfc09f8,Jorge Molina,43f71e77,goal,88,h
2020-2021,9bfc09f8,Germán Sánchez,ea9b2ef9,goal,90,h
2020-2021,9bfc09f8,Mikel Rico,def69cd0,goal,21,a
2020-2021,9bfc09f8,Borja García,e7f4603c,goal,49,a
2020-2021,9bfc09f8,Shinji Okazaki,68796d61,goal,82,a
2020-2021,fd627a61,Borja Iglesias,75645f0e,goal,76,a
2020-2021,fd627a61,Juan Miranda,ead61f73,goal,90+1,a
2020-2021,16108fee,Rodrigo Battaglia,d637fc22,red_card,61,h
2020-2021,0d074d58,Shon Weissman,379dc075,goal,7,h
2020-2021,0d074d58,Fabián Orellana,c90977db,penalty_goal,56,h
2020-2021,0d074d58,Shon Weissman,379dc075,goal,76,h
2020-2021,0d074d58,Ante Budimir,8f3565b3,goal,27,a
2020-2021,0d074d58,Roberto Torres,d733aa38,goal,43,a
2020-2021,de3c803f,Carlos Soler,fed17f5a,penalty_goal,26,h
2020-2021,de3c803f,Manu Vallejo,0bc4e720,goal,83,h
2020-2021,de3c803f,Asier Villalibre,57be54ec,goal,55,a
2020-2021,de3c803f,Raúl García,b418dbd4,penalty_goal,79,a
2020-2021,8d1dc7f5,Xabier Etxeita,4a895384,own_goal,81,a
2020-2021,bf384210,Javier Ontiveros,a83d8b0c,goal,66,h
2020-2021,2d8a4ddd,Casemiro,4d224fe8,goal,15,h
2020-2021,2d8a4ddd,Jan Oblak,ee8508c0,own_goal,63,h
2020-2021,515bf2be,Ander Barrenetxea,200e89e1,goal,20,h
2020-2021,515bf2be,Sergi Enrich,bb4b1242,goal,65,a
2020-2021,8c7f5044,Aitor Ruibal,a55d8df5,goal,51,h
2020-2021,8c7f5044,Pau Torres,532e1e4f,goal,5,a
2020-2021,5b711c37,Luis Javier Suárez,eeba07f8,goal,42,a
2020-2021,5ef7c398,Lionel Messi,d70ce98e,goal,76,h
2020-2021,d1ed8d84,Nolito,b2d0ec1b,goal,6,h
2020-2021,d1ed8d84,Iago Aspas,7dcf86f6,penalty_goal,31,h
2020-2021,d1ed8d84,Fran Beltrán,ed5c5fa3,goal,43,h
2020-2021,d1ed8d84,Brais Méndez,c9e39d91,goal,45+1,h
2020-2021,ad50de94,Toni Kroos,6ce1f46f,goal,45+1,h
2020-2021,ad50de94,Karim Benzema,70d74ece,goal,74,h
2020-2021,ad50de94,Karim Benzema,70d74ece,goal,90+2,h
2020-2021,ad50de94,Raúl García,b418dbd4,yellow_red_card,13,a
2020-2021,ad50de94,Ander Capa,37f1cf47,goal,52,a
2020-2021,be0928c2,Jordi Alba,4601e194,goal,31,h
2020-2021,be0928c2,Frenkie de Jong,1bacc518,goal,43,h
2020-2021,be0928c2,Willian José,d87e2cae,goal,27,a
2020-2021,fe536378,Kenan Kodro,e82d2807,penalty_goal,86,h
2020-2021,fe536378,Unai Núñez,be170419,goal,90+1,h
2020-2021,fe536378,Jorge Pulido,978cd030,yellow_red_card,86,a
2020-2021,ce479171,Luis Suárez,a6154613,goal,41,h
2020-2021,ce479171,Luis Suárez,a6154613,goal,58,h
2020-2021,ce479171,Diego Costa,a190d597,penalty_goal,80,h
2020-2021,ce479171,Lucas Boyé,d49f3e6b,goal,64,a
2020-2021,29e2c236,Lionel Messi,d70ce98e,goal,45+4,h
2020-2021,29e2c236,Ronald Araújo,2bef2bca,goal,52,h
2020-2021,29e2c236,Mouctar Diakhaby,d2110326,goal,29,a
2020-2021,29e2c236,Maxi Gómez,4c2e9442,goal,69,a
2020-2021,f6b2a2a6,Roger Martí,0ae4e09a,goal,28,h
2020-2021,f6b2a2a6,Jorge de Frutos,38ce1150,goal,87,h
2020-2021,f6b2a2a6,Alexander Isak,8e92be30,goal,22,a
2020-2021,3575a467,Aridane Hernández,132ac341,red_card,19,h
2020-2021,3575a467,Roberto Torres,d733aa38,penalty_goal,70,h
2020-2021,3575a467,Gerard Moreno,81f0781e,goal,7,a
2020-2021,3575a467,Fernando Niño,81d5c497,goal,29,a
2020-2021,3575a467,Gerard Moreno,81f0781e,goal,86,a
2020-2021,2d7c6aaa,Lucas Ocampos,a08b974a,penalty_goal,31,h
2020-2021,2d7c6aaa,Raúl García,1a317a1b,goal,87,a
2020-2021,025d63df,Brais Méndez,c9e39d91,goal,19,h
2020-2021,025d63df,Brais Méndez,c9e39d91,goal,79,h
2020-2021,393d3a24,Roberto Soldado,9d66fbe3,penalty_goal,14,h
2020-2021,393d3a24,Roberto Soldado,9d66fbe3,goal,20,h
2020-2021,c77f2423,Cucho,71b47ab9,goal,33,a
2020-2021,c77f2423,Nemanja Maksimović,00b28772,goal,90+4,a
2020-2021,1946dc03,Kike,e897d8ba,goal,28,h
2020-2021,1946dc03,Karim Benzema,70d74ece,goal,6,a
2020-2021,1946dc03,Luka Modrić,6025fab1,goal,13,a
2020-2021,1946dc03,Lucas Vázquez,fd51b456,goal,90+2,a
2020-2021,692ed77c,Fidel,eb82b6f1,goal,46,h
2020-2021,692ed77c,Guido Carrillo,8f898ba8,goal,78,h
2020-2021,692ed77c,Rubén García,5c96b017,goal,10,a
2020-2021,692ed77c,Darko Brašanac,4accb7e0,goal,64,a
2020-2021,692ed77c,Iñigo Pérez,bc61cc65,yellow_red_card,90+2,a
2020-2021,0a9cce7b,Suso,4e219ad2,goal,81,a
2020-2021,731e8449,Mario Hermoso,555f3a0b,goal,49,a
2020-2021,731e8449,Marcos Llorente,02c15616,goal,74,a
2020-2021,259ecaa0,Javier Ontiveros,a83d8b0c,penalty_goal,31,h
2020-2021,259ecaa0,Gonzalo Melero,3902e91b,goal,53,a
2020-2021,086be9c6,Clément Lenglet,4f28a6ff,goal,21,a
2020-2021,086be9c6,Martin Braithwaite,fd771f95,goal,35,a
2020-2021,086be9c6,Lionel Messi,d70ce98e,goal,65,a
2020-2021,351e60c3,Yeremi Pino,540ec57b,goal,74,h
2020-2021,351e60c3,Iñaki Williams,6a99e0b1,goal,19,a
2020-2021,e3b2ae55,Damián Suárez,ba5004e1,goal,7,h
2020-2021,e3b2ae55,Iago Aspas,7dcf86f6,penalty_goal,17,a
2020-2021,d98e1eba,Casemiro,4d224fe8,goal,57,h
2020-2021,d98e1eba,Karim Benzema,70d74ece,goal,90+3,h
2020-2021,f281b31b,Édgar Méndez,aed746df,goal,41,h
2020-2021,f281b31b,Deyverson,2e5e846d,goal,45+2,h
2020-2021,f281b31b,Pedro León,d66b9872,goal,4,a
2020-2021,f4e53914,Guido Rodríguez,34e393f2,goal,71,h
2020-2021,70db94fc,Lucas Ocampos,a08b974a,penalty_goal,8,h
2020-2021,70db94fc,Youssef En-Nesyri,04e17fd5,goal,53,h
2020-2021,d3f9d764,Ousmane Dembélé,b19db005,goal,67,h
2020-2021,d3f9d764,Kike,e897d8ba,goal,57,a
2020-2021,d66ce142,Óscar Duarte,aa0ac32d,goal,2,h
2020-2021,d66ce142,José Luis Morales,4a478107,goal,22,h
2020-2021,d66ce142,José Luis Morales,4a478107,goal,24,h
2020-2021,d66ce142,Roger Martí,0ae4e09a,goal,55,h
2020-2021,d66ce142,Rober,c00097d2,red_card,68,h
2020-2021,d66ce142,Aïssa Mandi,fbd6378b,goal,12,a
2020-2021,d66ce142,Sergio Canales,a6de370d,penalty_goal,78,a
2020-2021,d66ce142,Sergio Canales,a6de370d,goal,86,a
2020-2021,a0d46fea,Kenedy,5eebbfdf,goal,45+3,h
2020-2021,a0d46fea,Domingos Duarte,93090f69,red_card,76,h
2020-2021,a0d46fea,Jorge Molina,43f71e77,goal,88,h
2020-2021,a0d46fea,Kévin Gameiro,42276181,goal,36,a
